Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-09-21 10:26:28,"Wednesday",38min,"Squat (Barbell)",1,45.0,10,0,0,"","",
2022-09-21 10:26:28,"Wednesday",38min,"Squat (Barbell)",2,65.0,8,0,0,,,
2022-09-21 10:26:28,"Wednesday",38min,"Squat (Barbell)",3,90.0,6,0,0,,,
2022-09-21 10:26:28,"Wednesday",38min,"Squat (Barbell)",4,90.0,6,0,0,,,
2022-09-21 10:26:28,"Wednesday",38min,"Squat (Barbell)",5,65.0,8,0,0,,,
2022-09-21 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",1,25.0,10,0,0,"",,
2022-09-21 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",2,50.0,8,0,0,,,
2022-09-21 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",3,50.0,8,0,0,,,
2022-09-21 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",4,50.0,10,0,0,,,
2022-09-21 10:26:28,"Wednesday",38min,"Romanian Deadlift (Dumbbell)",1,60.0,10,0,0,"",,
2022-09-21 10:26:28,"Wednesday",38min,"Romanian Deadlift (Dumbbell)",2,60.0,10,0,0,,,
2022-09-21 10:26:28,"Wednesday",38min,"Romanian Deadlift (Dumbbell)",3,60.0,10,0,0,,,
2022-09-22 10:26:28,"Wednesday",38min,"Squat (Barbell)",1,45.0,10,0,0,"","",
2022-09-22 10:26:28,"Wednesday",38min,"Squat (Barbell)",2,90.0,8,0,0,,,
2022-09-22 10:26:28,"Wednesday",38min,"Squat (Barbell)",3,90.0,6,0,0,,,
2022-09-22 10:26:28,"Wednesday",38min,"Squat (Barbell)",4,90.0,6,0,0,,,
2022-09-22 10:26:28,"Wednesday",38min,"Squat (Barbell)",5,65.0,8,0,0,,,
2022-09-22 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",1,25.0,10,0,0,"",,
2022-09-22 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",2,50.0,8,0,0,,,
2022-09-22 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",3,50.0,8,0,0,,,
2022-09-22 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",4,50.0,15,0,0,,,
2022-09-22 10:26:28,"Wednesday",38min,"Romanian Deadlift (Dumbbell)",1,60.0,10,0,0,"",,
2022-09-22 10:26:28,"Wednesday",38min,"Romanian Deadlift (Dumbbell)",2,60.0,10,0,0,,,
2022-09-22 10:26:28,"Wednesday",38min,"Romanian Deadlift (Dumbbell)",3,60.0,10,0,0,,,
2022-09-23 10:26:28,"Wednesday",38min,"Squat (Barbell)",1,55.0,10,0,0,"","",
2022-09-23 10:26:28,"Wednesday",38min,"Squat (Barbell)",2,95.0,6,0,0,,,
2022-09-23 10:26:28,"Wednesday",38min,"Squat (Barbell)",3,95.0,6,0,0,,,
2022-09-23 10:26:28,"Wednesday",38min,"Squat (Barbell)",4,95.0,6,0,0,,,
2022-09-23 10:26:28,"Wednesday",38min,"Squat (Barbell)",5,65.0,8,0,0,,,
2022-09-23 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",1,25.0,10,0,0,"",,
2022-09-23 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",2,50.0,8,0,0,,,
2022-09-23 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",3,50.0,8,0,0,,,
2022-09-23 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",4,50.0,10,0,0,,,
2022-09-23 10:26:28,"Wednesday",38min,"Romanian Deadlift (Dumbbell)",1,60.0,10,0,0,"",,
2022-09-23 10:26:28,"Wednesday",38min,"Romanian Deadlift (Dumbbell)",2,60.0,10,0,0,,,
2022-09-23 10:26:28,"Wednesday",38min,"Romanian Deadlift (Dumbbell)",3,60.0,10,0,0,,,
2022-09-24 10:26:28,"Wednesday",38min,"Squat (Barbell)",1,45.0,10,0,0,"","",
2022-09-24 10:26:28,"Wednesday",38min,"Squat (Barbell)",2,100.0,3,0,0,,,
2022-09-24 10:26:28,"Wednesday",38min,"Squat (Barbell)",3,100.0,3,0,0,,,
2022-09-24 10:26:28,"Wednesday",38min,"Squat (Barbell)",4,90.0,6,0,0,,,
2022-09-24 10:26:28,"Wednesday",38min,"Squat (Barbell)",5,65.0,8,0,0,,,
2022-09-24 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",1,25.0,10,0,0,"",,
2022-09-24 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",2,50.0,8,0,0,,,
2022-09-24 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",3,50.0,8,0,0,,,
2022-09-24 10:26:28,"Wednesday",38min,"Leg Extension (Machine)",4,50.0,15,0,0,,,
2022-09-24 10:26:28,"Wednesday",38min,"Romanian Deadlift (Dumbbell)",1,60.0,10,0,0,"",,
2022-09-24 10:26:28,"Wednesday",38min,"Romanian Deadlift (Dumbbell)",2,70.0,6,0,0,,,
2022-09-24 10:26:28,"Wednesday",38min,"Romanian Deadlift (Dumbbell)",3,60.0,10,0,0,,,


